"Name","PackageFullName","Version"
"Microsoft.Windows.DevHome","Microsoft.Windows.DevHome_0.1700.597.0_x64__8wekyb3d8bbwe","0.1700.597.0"
"Microsoft.XboxSpeechToTextOverlay","Microsoft.XboxSpeechToTextOverlay_1.117.15001.0_x64__8wekyb3d8bbwe","1.117.15001.0"
"MicrosoftCorporationII.QuickAssist","MicrosoftCorporationII.QuickAssist_2.0.35.0_x64__8wekyb3d8bbwe","2.0.35.0"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.33519.0_x86__8wekyb3d8bbwe","14.0.33519.0"
"Microsoft.NET.Native.Framework.2.2","Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x86__8wekyb3d8bbwe","2.2.29512.0"
"Microsoft.NET.Native.Runtime.2.2","Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x86__8wekyb3d8bbwe","2.2.28604.0"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2501.31001.0_x86__8wekyb3d8bbwe","8.2501.31001.0"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x86__8wekyb3d8bbwe","14.0.33728.0"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2501.31001.0_x64__8wekyb3d8bbwe","8.2501.31001.0"
"Microsoft.WindowsAppRuntime.1.6","Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe","6000.519.329.0"
"Microsoft.WindowsAppRuntime.1.6","Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe","6000.519.329.0"
"Microsoft.WindowsAppRuntime.1.5","Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x86__8wekyb3d8bbwe","5001.373.1736.0"
"Microsoft.WindowsAppRuntime.1.5","Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe","5001.373.1736.0"
"PythonSoftwareFoundation.Python.3.12","PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0","3.12.2800.0"
"RealtekSemiconductorCorp.RealtekAudioControl","RealtekSemiconductorCorp.RealtekAudioControl_1.53.385.0_x64__dt26b99r8h8gj","1.53.385.0"
"Microsoft.WinAppRuntime.DDLM.8000.731.1532.0-x6","Microsoft.WinAppRuntime.DDLM.8000.731.1532.0-x6_8000.731.1532.0_x64__8wekyb3d8bbwe","8000.731.1532.0"
"Microsoft.WinAppRuntime.DDLM.8000.731.1532.0-x8","Microsoft.WinAppRuntime.DDLM.8000.731.1532.0-x8_8000.731.1532.0_x86__8wekyb3d8bbwe","8000.731.1532.0"
"Microsoft.BingSearch","Microsoft.BingSearch_1.1.43.0_x64__8wekyb3d8bbwe","1.1.43.0"
"Microsoft.Edge.GameAssist","Microsoft.Edge.GameAssist_1.0.3590.0_x64__8wekyb3d8bbwe","1.0.3590.0"
"Microsoft.WidgetsPlatformRuntime","Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe","1.6.14.0"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2310.30001.0_x64__8wekyb3d8bbwe","8.2310.30001.0"
"Microsoft.WindowsAppRuntime.1.5","Microsoft.WindowsAppRuntime.1.5_5001.311.2039.0_x64__8wekyb3d8bbwe","5001.311.2039.0"
"Microsoft.WindowsAppRuntime.1.6","Microsoft.WindowsAppRuntime.1.6_6000.401.2352.0_x64__8wekyb3d8bbwe","6000.401.2352.0"
"MicrosoftWindows.Client.WebExperience","MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy","526.1202.40.0"
"Microsoft.MicrosoftEdge.Stable","Microsoft.MicrosoftEdge.Stable_144.0.3719.115_neutral__8wekyb3d8bbwe","144.0.3719.115"
"Microsoft.VP9VideoExtensions","Microsoft.VP9VideoExtensions_1.2.12.0_x64__8wekyb3d8bbwe","1.2.12.0"
"Microsoft.XboxIdentityProvider","Microsoft.XboxIdentityProvider_12.130.16001.0_x64__8wekyb3d8bbwe","12.130.16001.0"
"Microsoft.WebpImageExtension","Microsoft.WebpImageExtension_1.2.14.0_x64__8wekyb3d8bbwe","1.2.14.0"
"Microsoft.Xbox.TCUI","Microsoft.Xbox.TCUI_1.24.10001.0_x64__8wekyb3d8bbwe","1.24.10001.0"
"Microsoft.ApplicationCompatibilityEnhancements","Microsoft.ApplicationCompatibilityEnhancements_1.2511.9.0_x64__8wekyb3d8bbwe","1.2511.9.0"
"Microsoft.WindowsCamera","Microsoft.WindowsCamera_2025.2510.2.0_x64__8wekyb3d8bbwe","2025.2510.2.0"
"Microsoft.HEVCVideoExtension","Microsoft.HEVCVideoExtension_2.4.43.0_x64__8wekyb3d8bbwe","2.4.43.0"
"Microsoft.WindowsCalculator","Microsoft.WindowsCalculator_11.2508.4.0_x64__8wekyb3d8bbwe","11.2508.4.0"
"Microsoft.WindowsSoundRecorder","Microsoft.WindowsSoundRecorder_1.1.86.0_x64__8wekyb3d8bbwe","1.1.86.0"
"Microsoft.WindowsAlarms","Microsoft.WindowsAlarms_1.1.85.0_x64__8wekyb3d8bbwe","1.1.85.0"
"Microsoft.AVCEncoderVideoExtension","Microsoft.AVCEncoderVideoExtension_1.1.23.0_x64__8wekyb3d8bbwe","1.1.23.0"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.770.947.0_x64__8wekyb3d8bbwe","8000.770.947.0"
"Microsoft.WinAppRuntime.DDLM.8000.770.947.0-x6","Microsoft.WinAppRuntime.DDLM.8000.770.947.0-x6_8000.770.947.0_x64__8wekyb3d8bbwe","8000.770.947.0"
"Microsoft.WinAppRuntime.DDLM.8000.770.947.0-x8","Microsoft.WinAppRuntime.DDLM.8000.770.947.0-x8_8000.770.947.0_x86__8wekyb3d8bbwe","8000.770.947.0"
"MicrosoftWindows.59336768.Speion","MicrosoftWindows.59336768.Speion_1000.26100.7623.0_x64__cw5n1h2txyewy","1000.26100.7623.0"
"MicrosoftWindows.59337133.Voiess","MicrosoftWindows.59337133.Voiess_1000.26100.7623.0_x64__cw5n1h2txyewy","1000.26100.7623.0"
"MicrosoftWindows.59337145.Livtop","MicrosoftWindows.59337145.Livtop_1000.26100.7623.0_x64__cw5n1h2txyewy","1000.26100.7623.0"
"MicrosoftWindows.59379618.InpApp","MicrosoftWindows.59379618.InpApp_1000.26100.7623.0_x64__cw5n1h2txyewy","1000.26100.7623.0"
"Microsoft.LanguageExperiencePacken-GB","Microsoft.LanguageExperiencePacken-GB_26100.124.233.0_neutral__8wekyb3d8bbwe","26100.124.233.0"
"Microsoft.WindowsAppRuntime.CBS.1.6","Microsoft.WindowsAppRuntime.CBS.1.6_6000.708.357.100_x64__8wekyb3d8bbwe","6000.708.357.100"
"Microsoft.WindowsAppRuntime.CBS.1.8","Microsoft.WindowsAppRuntime.CBS.1.8_8000.715.1812.100_x64__8wekyb3d8bbwe","8000.715.1812.100"
"MicrosoftWindows.57242383.Tasbar","MicrosoftWindows.57242383.Tasbar_1000.26100.8036.0_x64__cw5n1h2txyewy","1000.26100.8036.0"
"Microsoft.WindowsAppRuntime.1.7","Microsoft.WindowsAppRuntime.1.7_7000.785.2325.0_x64__8wekyb3d8bbwe","7000.785.2325.0"
"Microsoft.WindowsAppRuntime.1.7","Microsoft.WindowsAppRuntime.1.7_7000.785.2325.0_x86__8wekyb3d8bbwe","7000.785.2325.0"
"Microsoft.Windows.Photos","Microsoft.Windows.Photos_2026.11020.20001.0_x64__8wekyb3d8bbwe","2026.11020.20001.0"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.806.2252.0_x64__8wekyb3d8bbwe","8000.806.2252.0"
"Microsoft.AV1VideoExtension","Microsoft.AV1VideoExtension_2.0.7.0_x64__8wekyb3d8bbwe","2.0.7.0"
"MicrosoftWindows.WindowsSandbox","MicrosoftWindows.WindowsSandbox_0.5.3.0_x64__cw5n1h2txyewy","0.5.3.0"
"Microsoft.MicrosoftStickyNotes","Microsoft.MicrosoftStickyNotes_6.1.4.0_x64__8wekyb3d8bbwe","6.1.4.0"
"Microsoft.HEIFImageExtension","Microsoft.HEIFImageExtension_1.2.30.0_x64__8wekyb3d8bbwe","1.2.30.0"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2511.26001.0_x64__8wekyb3d8bbwe","8.2511.26001.0"
"Microsoft.DirectXRuntime","Microsoft.DirectXRuntime_9.29.1974.0_x64__8wekyb3d8bbwe","9.29.1974.0"
"Microsoft.Winget.Fonts.Source","Microsoft.Winget.Fonts.Source_2025.1016.311.49_neutral__8wekyb3d8bbwe","2025.1016.311.49"
"Microsoft.SecHealthUI","Microsoft.SecHealthUI_1000.29554.1001.0_x64__8wekyb3d8bbwe","1000.29554.1001.0"
