"Name","Version","ProviderName"
"Microsoft Windows Desktop Runtime - 6.0.36 (x86)","6.0.36.34217","Programs"
"Microsoft.NET.Sdk.Maui.Manifest-6.0.300","24.78.0","msi"
"Microsoft .NET Toolset 9.0.310 (x64)","36.10.51051","msi"
"Windows SDK OnecoreUap Headers x64","10.1.26100.7705","msi"
"Microsoft.NET.Sdk.iOS.Manifest-11.0.100-preview.1 (x64)","26.2.11310","msi"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","msi"
"Microsoft .NET Host FX Resolver - 5.0.17 (x64)","40.68.31213","msi"
"Windows App Certification Kit Native Components","10.1.26100.7705","msi"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","72.0.52183","msi"
"Microsoft ASP.NET Core 9.0.16 Shared Framework (x64)","9.0.16.26230","msi"
"Microsoft .NET Runtime - 9.0.14 (x64)","72.56.48826","msi"
"Microsoft .NET Runtime - 9.0.14 (x64)","9.0.14.35819","Programs"
"Microsoft Windows Desktop Runtime - 5.0.17 (x64)","40.68.31219","msi"
"Microsoft Windows Desktop Runtime - 5.0.17 (x64)","5.0.17.31219","Programs"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","72.56.52051","msi"
"Microsoft.NET.Sdk.tvOS.Manifest-10.0.100 (x64)","26.0.11017","msi"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","msi"
"Microsoft.NET.Workload.Emscripten.net6.Manifest-11.0.100-preview.4 (x64)","89.144.52195","msi"
"Microsoft .NET AppHost Pack - 11.0.0 Preview 1 (x64)","88.0.48582","msi"
"SDK ARM64 Redistributables","10.1.26100.7705","msi"
"Microsoft ASP.NET Core 8.0.23 Targeting Pack (x64)","8.0.23.25609","msi"
"Microsoft .NET Core SDK 3.0.103 (x64)","12.0.63611","msi"
"Microsoft .NET Core SDK 3.0.103 (x64)","3.0.103.14459","Programs"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","msi"
"cloudflared","2026.5.0","msi"
"Windows App Certification Kit x64 (OnecoreUAP)","10.1.26100.7705","msi"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","72.56.52051","msi"
"Microsoft ASP.NET Core Targeting Pack - 10.0.3 (x64)","80.12.47319","msi"
"Microsoft .NET AppHost Pack - 11.0.0 Preview 4 (x64)","88.0.52195","msi"
"Microsoft Windows Desktop Runtime - 3.0.3 (x64)","24.12.28517","msi"
"Windows SDK Signing Tools","10.1.26100.7705","msi"
"Windows SDK Desktop Libs x86","10.1.26100.7705","msi"
"Microsoft Edge","148.0.3967.70","msi"
"Microsoft .NET Toolset 9.0.312 (x64)","36.11.56644","msi"
"Microsoft.NET.Workload.Emscripten.net8.Manifest-10.0.100 (x64)","81.176.52183","msi"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","72.0.52183","msi"
"Microsoft .NET Targeting Pack - 6.0.36 (x64)","48.144.23141","msi"
"Microsoft .NET Runtime - 6.0.36 (x86)","48.144.23141","msi"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)","72.0.52183","msi"
"Microsoft .NET Toolset 7.0.410 (x64)","28.10.35687","msi"
"Microsoft.NET.Workload.Emscripten.net9.Manifest-10.0.100 (x64)","81.176.52183","msi"
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_x86)","24.192.31915","msi"
"Microsoft Windows Desktop Runtime - 10.0.3 (x64)","80.12.47319","msi"
"vs_filehandler_x86","17.14.36024","msi"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-11.0.100-preview.1 (x64)","89.144.48582","msi"
"Windows App Certification Kit SupportedApiList x86","10.1.26100.7705","msi"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.44.35211","14.44.35211","msi"
"Microsoft .NET Core Targeting Pack - 3.0.0 (x64)","24.0.28113","msi"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100 (x64)","26.0.11017","msi"
"Microsoft ASP.NET Core 6.0.36 Targeting Pack (x64)","6.0.36.24516","msi"
"Microsoft ASP.NET Core 8.0.23 Shared Framework (x64)","8.0.23.25609","msi"
"Microsoft .NET Host - 9.0.16 (x64)","72.64.52183","msi"
"Windows SDK AddOn","10.1.0.0","msi"
"Windows SDK Desktop Headers x64","10.1.26100.7705","msi"
"AMD Settings","2026.506.2311.2068","msi"
"Microsoft.NET.Workload.Emscripten.Current.Manifest-11.0.100-preview.4 (x64)","89.144.52195","msi"
"Microsoft.NET.Sdk.Android.Manifest-6.0.300","128.75.16384","msi"
"Microsoft .NET Core Host FX Resolver - 3.1.32 (x64)","24.192.31915","msi"
