"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"ENE_DRAM_RGB_AIO","1.0.22.1","Ene Tech.",,
"ENE_DRAM_RGB_AIO","1.0.23.1","Ene Tech.","","MsiExec.exe /I{DFAD06E0-C5FC-4154-8F95-65871D5AB5BF}"
"ENE_EHD_M2_HAL","1.0.17.0","ENE TECHNOLOGY INC.","","MsiExec.exe /I{37A48B7F-D4EA-4863-844E-A284E2AA3C5D}"
"ENE_EHD_M2_HAL","1.0.17.0","ENE TECHNOLOGY INC.",,
"ENE_External_Device_HAL","1.0.12.7","ENE Tech","","MsiExec.exe /I{2B8E611F-0B51-4FAC-87BB-AF50D82E7DDA}"
"ENE_External_Device_HAL","1.0.12.7","ENE Tech",,
"ENE_MousePad_HAL","1.0.1.8","ENE TECHNOLOGY INC.",,
"ENE_MousePad_HAL","1.0.1.8","ENE TECHNOLOGY INC.","","MsiExec.exe /I{9E97178A-ADB8-4778-BE60-7E28E2A72721}"
"ENE_X_AIC_HAL","1.0.6.3","ENE TECHNOLOGY INC.",,
"ENE_X_AIC_HAL","1.0.6.3","ENE TECHNOLOGY INC.","","MsiExec.exe /I{CF703694-01C6-4062-B797-84DB215662BC}"
"Everything 1.4.1.1032 (x64)","1.4.1.1032","voidtools","F:\backup\windowsapps\installed\Everything","F:\backup\windowsapps\installed\Everything\Uninstall.exe"
"FFmpeg","8.0.1","Gyan","C:\Users\micha\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe","winget uninstall --product-code Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe"
"Fit Launcher","4.1.1","fitlauncher","""F:\backup\windowsapps\installed\Fit Launcher""","""F:\backup\windowsapps\installed\Fit Launcher\uninstall.exe"""
"Game Backup Monitor (32-bit)","1.4.4","Michael J. Seiferling",,"""F:\backup\windowsapps\installed\Game Backup Monitor\Uninstall.exe"""
"Game Save Manager version 2.1.0","2.1.0","Yongcan Yang","F:\backup\windowsapps\installed\Game Save Manager\","""F:\backup\windowsapps\installed\Game Save Manager\unins000.exe"""
"GameSave Manager v3","3.1.571.0","InsaneMatt","F:\backup\windowsapps\installed\gamesavemanager\GameSave Manager v3.1.571.0","""F:\backup\windowsapps\installed\gamesavemanager\GameSave Manager v3.1.571.0\gs_mngr_3.exe"" /uninstall"
"GBT_Dynamic_Lighting_Lib_UC 25.07.21.01","25.07.21.01","GIGABYTE",,"C:\Program Files\GIGABYTE\Control Center\Lib\GBT_Dynamic_Lighting_Lib_UC\uninst.exe"
"GBT_MB_Update","26.01.14.01","GIGABYTE",,"C:\Program Files\GIGABYTE\Control Center\Lib\GBT_MB_Update\uninst.exe"
"GBT_RGB_Sync_Control 26.03.25.01","26.03.25.01","GIGABYTE",,"C:\Program Files\GIGABYTE\Control Center\Lib\GBT_RGB_Sync_Control\uninst.exe"
"GBT_rgbMotherboard_UC 26.03.25.01","26.03.25.01","GIGABYTE",,"C:\Program Files\GIGABYTE\Control Center\Lib\GBT_rgbMotherboard_UC\uninst.exe"
"GBT_VGA 26.04.20.01","26.04.20.01","GIGABYTE",,"C:\Program Files\GIGABYTE\Control Center\Lib\GBT_VGA\uninst.exe"
"g-helper","0.247","seerge","C:\Users\micha\AppData\Local\Microsoft\WinGet\Packages\seerge.g-helper_Microsoft.Winget.Source_8wekyb3d8bbwe","winget uninstall --product-code seerge.g-helper_Microsoft.Winget.Source_8wekyb3d8bbwe"
"GIGABYTE A.I. Snatch","24.11.19.01","GIGA-BYTE TECHNOLOGY CO., LTD.",,"C:\Program Files\GIGABYTE\AISnatch\uninst.exe"
"GIGABYTE Control Center 26.03.26.01","26.03.26.01","GIGABYTE",,"C:\Program Files\GIGABYTE\Control Center\uninst.exe"
"GIGABYTE Installer","25.11.05.01","GIGA-BYTE TECHNOLOGY CO., LTD.",,"C:\Program Files\GIGABYTE\AmdX3DInstaller\uninst.exe"
"GIGABYTE OnFly X3D","25.10.14.01","GIGA-BYTE TECHNOLOGY CO., LTD.","C:\Program Files\GIGABYTE\GbtAmdOnFlyX3d","C:\Program Files\GIGABYTE\GbtAmdOnFlyX3d\Uninstall.exe"
"GIGABYTE Performance Library","26.03.19.01","GIGABYTE",,"C:\Program Files\GIGABYTE\Control Center\Lib\MBEasyTune\uninst.exe"
"GIGABYTE SSD Firmware Update Tool","24.06.19.01","GIGABYTE",,"C:\Program Files\GIGABYTE\GBTSsdFirmwareUpdate\uninst.exe"
"GIGABYTE Storage Library","26.04.27.02","GIGABYTE",,"C:\Program Files\GIGABYTE\Control Center\Lib\MBStorage\uninst.exe"
"GIGABYTE Wi-Fi Compass","24.10.30.01","GIGABYTE",,"C:\Program Files\GIGABYTE\Control Center\Lib\GBT_WiFiCompass\uninst.exe"
"Git","2.54.0","The Git Development Community","C:\Program Files\Git\","""C:\Program Files\Git\unins001.exe"""
"GitHub CLI","2.92.0","GitHub, Inc.","","MsiExec.exe /X{C4C5EF69-20FB-49FB-B9CE-715D4ED7966D}"
"GitHub Desktop","3.5.8","GitHub, Inc.","C:\Users\micha\AppData\Local\GitHubDesktop","""C:\Users\micha\AppData\Local\GitHubDesktop\Update.exe"" --uninstall"
"GnuWin32: Make-3.81","3.81","GnuWin32","C:\Program Files (x86)\GnuWin32\","""C:\Program Files (x86)\GnuWin32\uninstall\unins000.exe"""
"Google Chrome","148.0.7778.168","Google LLC","","MsiExec.exe /X{AB53BB27-D54C-3E8F-8EFF-C3B1068B5BA5}"
"Halo: TMCC - Essential Files",,,,
"Hydra","3.9.7","Los Broxas",,"""C:\Users\micha\AppData\Local\Programs\Hydra\Uninstall Hydra.exe"" /currentuser"
"Inno Setup version 6.7.2","6.7.2","jrsoftware.org","C:\Program Files (x86)\Inno Setup 6\","""C:\Program Files (x86)\Inno Setup 6\unins000.exe"""
"Kits Configuration Installer","10.1.26100.2454","Microsoft","","MsiExec.exe /I{2598EE05-986F-CECE-2CA7-C7EAFA28D7C1}"
"LockHunter 3.4, 32/64 bit","3.4.3.146","Crystal Rich Ltd","C:\Program Files\LockHunter\","""C:\Program Files\LockHunter\unins000.exe"""
"Logi Download Assistant","2.0.529","Logitech",,"""C:\Program Files\LogiDownloadAssistant\Uninstall.exe"""
"ludusavi","0.31.0","mtkennerly","C:\Users\micha\AppData\Local\Microsoft\WinGet\Packages\mtkennerly.ludusavi_Microsoft.Winget.Source_8wekyb3d8bbwe","winget uninstall --product-code mtkennerly.ludusavi_Microsoft.Winget.Source_8wekyb3d8bbwe"
"Macrium Reflect Workstation","8.1.8631","Paramount Software (UK) Ltd.","","MsiExec.exe /I{BB66D265-AC9C-4F02-A8EE-D82DA78541D2}"
"Macrium Reflect Workstation","v8.1.8631","Paramount Software (UK) Ltd.",,"F:\backup\windowsapps\installed\Reflect\xReflect.exe"
"Microsoft .NET 10.0 Templates 10.0.103 x64","40.10.52243","Microsoft Corporation","","MsiExec.exe /I{12A431E9-7DF8-4E39-85DC-6FC0A070428B}"
"Microsoft .NET 10.0 Templates 10.0.104 x64","40.11.56650","Microsoft Corporation","","MsiExec.exe /I{B0BCD77A-1923-47FC-8BD6-D4ED1703FF34}"
"Microsoft .NET 10.0 Templates 10.0.108 x64","40.11.2123","Microsoft Corporation","","MsiExec.exe /I{6C45824C-3734-40DB-AEF1-8B26E2B804A3}"
"Microsoft .NET 10.0 Templates 10.0.200 x64","40.10.56662","Microsoft Corporation","","MsiExec.exe /I{99883341-EE44-48AB-9747-06712C51A4E4}"
"Microsoft .NET 10.0 Templates 10.0.204 x64","40.11.2218","Microsoft Corporation","","MsiExec.exe /I{FE1EC90D-97E5-4434-B6C3-2FCDEDEC3BF3}"
"Microsoft .NET 10.0 Templates 10.0.300 x64","40.11.2206","Microsoft Corporation","","MsiExec.exe /I{1E376B7D-374F-42FB-BF04-D9ED775FB001}"
"Microsoft .NET 11.0 Templates 11.0.100-preview.1.26104.118 x64","44.10.55158","Microsoft Corporation","","MsiExec.exe /I{000920D5-FF54-47D6-A7CE-046FAF6D4E68}"
"Microsoft .NET 11.0 Templates 11.0.100-preview.4.26230.115 x64","44.11.2219","Microsoft Corporation","","MsiExec.exe /I{F907DDC6-387A-4377-9032-5FAAA81683EB}"
"Microsoft .NET 6.0 Templates 6.0.428 (x64)","24.9.28115","Microsoft Corporation","","MsiExec.exe /I{DE5C6454-AFC4-485A-A6C9-ACAAD3D75E10}"
"Microsoft .NET 7.0 Templates 7.0.410 (x64)","28.13.2919","Microsoft Corporation","","MsiExec.exe /I{178EDB94-B6ED-4597-94F1-708349DD7B1E}"
"Microsoft .NET 8.0 Templates 8.0.417 (x64)","32.15.54793","Microsoft Corporation","","MsiExec.exe /I{EB70A3F6-9224-4821-AE8E-9C0590570087}"
"Microsoft .NET 8.0 Templates 8.0.418 (x64)","32.14.51843","Microsoft Corporation","","MsiExec.exe /I{E05CDBA6-B357-4888-95C2-C45D0DA6C4AB}"
"Microsoft .NET 8.0 Templates 8.0.419 (x64)","32.14.55941","Microsoft Corporation","","MsiExec.exe /I{9DC400E0-A330-47CE-BA54-B4A793D3222C}"
"Microsoft .NET 8.0 Templates 8.0.420 (x64)","32.14.61841","Microsoft Corporation","","MsiExec.exe /I{CBEB56F3-B1E9-4801-83FA-A832F70E2206}"
"Microsoft .NET 8.0 Templates 8.0.421 (x64)","32.15.51258","Microsoft Corporation","","MsiExec.exe /I{736D471F-33E1-4EBB-A22D-7C9058C4F135}"
"Microsoft .NET 9.0 Templates 9.0.310 (x64)","36.11.51051","Microsoft Corporation","","MsiExec.exe /I{03454BD3-387C-43CA-874D-34A10E0B41D7}"
"Microsoft .NET 9.0 Templates 9.0.311 (x64)","36.11.51454","Microsoft Corporation","","MsiExec.exe /I{6DB6DE03-6E66-4790-AD0C-472B74163412}"
